fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220928 014638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	700429	0.0444240729355801	0.420216869594958	1365	339	8516	27530000	136
20220928 015053	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	703	TRUE	700429	0.00897684803692131	0.497471245994213	1738	945	8099	27490000	137
20220928 015134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	700429	0.0659978645707095	0.473424163580387	1820	281	9186	27310000	138
20220928 015238	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	700429	0.0379037805875861	0.46465981960909	1465	402	9229	27870000	139
20220928 015351	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	224	TRUE	700429	0.0541207763299691	0.453933057228586	2584	416	9110	27300000	140
20220928 015459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	700429	0.0340033866948321	0.432478062784169	1489	484	9117	27850000	141
20220928 015612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	261	TRUE	700429	0.0349382869351457	0.409866672140265	6492	445	9279	26970000	142
20220928 015706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	700429	0.0417348933010689	0.532845148811117	1184	503	8529	27270000	143
20220928 015759	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	114	TRUE	700429	0.0464303178882836	0.420276141427368	1798	747	9349	27710000	144
20220928 015849	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	166	TRUE	700429	0.0563008894514541	0.41956252983347	7819	268	8908	26990000	145
20220928 020051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	294	TRUE	700429	0.020812096973675	0.433899829313246	1039	498	8787	27390000	146
20220928 020204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	700429	0.0301070529766303	0.454487647611855	1041	553	8557	27210000	147
20220928 020234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	700429	0.0557768813689594	0.739601457656557	2122	909	7106	26590000	148
20220928 020312	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	700429	0.0718713197956857	0.445599309292333	2113	829	7136	27170000	149
20220928 020431	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	700429	0.0281226012300292	0.704718247246082	1243	501	9611	27340000	150
20220928 020518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	700429	0.0798378944693658	0.412052493074265	4364	390	9349	26990000	151
20220928 020644	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	168	TRUE	700429	0.0355690879827502	0.561584008827736	1987	1021	10056	27330000	152
20220928 020724	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	700429	0.0824078959764734	0.426294199735987	1828	269	8231	27060000	153
20220928 020803	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	700429	0.0662551572543494	0.632212195527417	1365	1024	9088	27270000	154
20220928 021110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	401	TRUE	700429	0.010348333736867	0.429809955906326	1162	443	9180	27720000	155
20220928 021418	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	574	TRUE	700429	0.00975226936658582	0.486364642358326	5698	550	9013	27180000	156
20220928 022244	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1953	TRUE	700429	0.00509917162976193	0.567431427200562	3537	476	10015	26770000	157
